
Year    Storms  Cat1  Cat2  Cat3  Cat4  Cat5
AL041851 UNNAMED, Start: 1851-08-16 00:00:00 End: 1851-08-27 18:00:00 Duration: 11 days 18 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 1
AL051851 UNNAMED, Start: 1851-09-13 00:00:00 End: 1851-09-16 18:00:00 Duration: 3 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061851 UNNAMED, Start: 1851-10-16 00:00:00 End: 1851-10-19 18:00:00 Duration: 3 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011852 UNNAMED, Start: 1852-08-19 00:00:00 End: 1852-08-30 00:00:00 Duration: 11 days 0 hours, Max Wind: 100 knots, Min Pressure: 961 mb, Landfalls: 1
AL021852 UNNAMED, Start: 1852-09-05 00:00:00 End: 1852-09-06 18:00:00 Duration: 1 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL031852 UNNAMED, Start: 1852-09-09 00:00:00 End: 1852-09-13 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL041852 UNNAMED, Start: 1852-09-22 00:00:00 End: 1852-09-30 18:00:00 Duration: 8 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL051852 UNNAMED, Start: 1852-10-06 00:00:00 End: 1852-10-11 18:00:00 Duration: 5 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL011853 UNNAMED, Start: 1853-08-05 12:00:00 End: 1853-08-05 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL021853 UNNAMED, Start: 1853-08-10 12:00:00 End: 1853-08-10 12:00:00 Duration: 0 days 0 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL031853 UNNAMED, Start: 1853-08-30 00:00:00 End: 1853-09-10 18:00:00 Duration: 11 days 18 hours, Max Wind: 130 knots, Min Pressure: 924 mb, Landfalls: 0
AL041853 UNNAMED, Start: 1853-09-08 00:00:00 End: 1853-09-10 18:00:00 Duration: 2 days 18 hours, Max Wind: 100 knots, Min Pressure: N/A mb, Landfalls: 0
AL051853 UNNAMED, Start: 1853-09-21 12:00:00 End: 1853-09-21 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061853 UNNAMED, Start: 1853-09-26 00:00:00 End: 1853-10-01 06:00:00 Duration: 5 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL071853 UNNAMED, Start: 1853-09-28 12:00:00 End: 1853-09-28 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL081853 UNNAMED, Start: 1853-10-19 00:00:00 End: 1853-10-22 06:00:00 Duration: 3 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011854 UNNAMED, Start: 1854-06-25 00:00:00 End: 1854-06-27 12:00:00 Duration: 2 days 12 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL021854 UNNAMED, Start: 1854-08-23 12:00:00 End: 1854-08-23 12:00:00 Duration: 0 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL031854 UNNAMED, Start: 1854-09-07 00:00:00 End: 1854-09-12 18:00:00 Duration: 5 days 18 hours, Max Wind: 110 knots, Min Pressure: 938 mb, Landfalls: 1
AL041854 UNNAMED, Start: 1854-09-18 00:00:00 End: 1854-09-20 06:00:00 Duration: 2 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL051854 UNNAMED, Start: 1854-10-20 00:00:00 End: 1854-10-22 18:00:00 Duration: 2 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011855 UNNAMED, Start: 1855-08-06 12:00:00 End: 1855-08-06 12:00:00 Duration: 0 days 0 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL021855 UNNAMED, Start: 1855-08-10 00:00:00 End: 1855-08-11 06:00:00 Duration: 1 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031855 UNNAMED, Start: 1855-08-11 12:00:00 End: 1855-08-11 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041855 UNNAMED, Start: 1855-08-24 00:00:00 End: 1855-08-27 18:00:00 Duration: 3 days 18 hours, Max Wind: 60 knots, Min Pressure: 997 mb, Landfalls: 0
AL051855 UNNAMED, Start: 1855-09-15 00:00:00 End: 1855-09-17 06:00:00 Duration: 2 days 6 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 1
AL011856 UNNAMED, Start: 1856-08-09 00:00:00 End: 1856-08-12 06:00:00 Duration: 3 days 6 hours, Max Wind: 130 knots, Min Pressure: 934 mb, Landfalls: 1
AL021856 UNNAMED, Start: 1856-08-13 00:00:00 End: 1856-08-14 18:00:00 Duration: 1 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL031856 UNNAMED, Start: 1856-08-19 00:00:00 End: 1856-08-21 12:00:00 Duration: 2 days 12 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL041856 UNNAMED, Start: 1856-08-21 12:00:00 End: 1856-08-21 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL051856 UNNAMED, Start: 1856-08-25 00:00:00 End: 1856-09-03 18:00:00 Duration: 9 days 18 hours, Max Wind: 100 knots, Min Pressure: 969 mb, Landfalls: 1
AL061856 UNNAMED, Start: 1856-09-18 00:00:00 End: 1856-09-22 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011857 UNNAMED, Start: 1857-06-30 00:00:00 End: 1857-07-01 18:00:00 Duration: 1 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL021857 UNNAMED, Start: 1857-09-06 18:00:00 End: 1857-09-18 06:00:00 Duration: 11 days 12 hours, Max Wind: 90 knots, Min Pressure: 961 mb, Landfalls: 1
AL031857 UNNAMED, Start: 1857-09-22 00:00:00 End: 1857-09-26 18:00:00 Duration: 4 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041857 UNNAMED, Start: 1857-09-24 00:00:00 End: 1857-09-30 18:00:00 Duration: 6 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011858 UNNAMED, Start: 1858-06-12 12:00:00 End: 1858-06-12 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021858 UNNAMED, Start: 1858-08-05 12:00:00 End: 1858-08-05 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL031858 UNNAMED, Start: 1858-09-14 00:00:00 End: 1858-09-17 06:00:00 Duration: 3 days 6 hours, Max Wind: 90 knots, Min Pressure: 979 mb, Landfalls: 2
AL041858 UNNAMED, Start: 1858-09-17 00:00:00 End: 1858-09-24 18:00:00 Duration: 7 days 18 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL051858 UNNAMED, Start: 1858-09-22 12:00:00 End: 1858-09-25 18:00:00 Duration: 3 days 6 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL061858 UNNAMED, Start: 1858-10-21 00:00:00 End: 1858-10-26 06:00:00 Duration: 5 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011859 UNNAMED, Start: 1859-07-01 12:00:00 End: 1859-07-01 12:00:00 Duration: 0 days 0 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL021859 UNNAMED, Start: 1859-08-17 00:00:00 End: 1859-08-19 18:00:00 Duration: 2 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031859 UNNAMED, Start: 1859-09-02 00:00:00 End: 1859-09-03 06:00:00 Duration: 1 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041859 UNNAMED, Start: 1859-09-12 06:00:00 End: 1859-09-13 18:00:00 Duration: 1 days 12 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL051859 UNNAMED, Start: 1859-09-15 00:00:00 End: 1859-09-18 18:00:00 Duration: 3 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL061859 UNNAMED, Start: 1859-10-02 00:00:00 End: 1859-10-06 18:00:00 Duration: 4 days 18 hours, Max Wind: 110 knots, Min Pressure: 938 mb, Landfalls: 0
AL071859 UNNAMED, Start: 1859-10-16 00:00:00 End: 1859-10-18 06:00:00 Duration: 2 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL081859 UNNAMED, Start: 1859-10-24 00:00:00 End: 1859-10-29 18:00:00 Duration: 5 days 18 hours, Max Wind: 80 knots, Min Pressure: 989 mb, Landfalls: 1
AL011860 UNNAMED, Start: 1860-08-08 00:00:00 End: 1860-08-16 06:00:00 Duration: 8 days 6 hours, Max Wind: 110 knots, Min Pressure: N/A mb, Landfalls: 1
AL021860 UNNAMED, Start: 1860-08-24 00:00:00 End: 1860-08-26 18:00:00 Duration: 2 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL041860 UNNAMED, Start: 1860-09-11 00:00:00 End: 1860-09-16 06:00:00 Duration: 5 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL031860 UNNAMED, Start: 1860-09-11 12:00:00 End: 1860-09-11 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL051860 UNNAMED, Start: 1860-09-18 00:00:00 End: 1860-09-21 18:00:00 Duration: 3 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL061860 UNNAMED, Start: 1860-09-30 00:00:00 End: 1860-10-03 18:00:00 Duration: 3 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL071860 UNNAMED, Start: 1860-10-20 00:00:00 End: 1860-10-24 06:00:00 Duration: 4 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011861 UNNAMED, Start: 1861-07-06 00:00:00 End: 1861-07-12 18:00:00 Duration: 6 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL021861 UNNAMED, Start: 1861-08-13 12:00:00 End: 1861-08-17 18:00:00 Duration: 4 days 6 hours, Max Wind: 80 knots, Min Pressure: N/A mb, Landfalls: 0
AL031861 UNNAMED, Start: 1861-08-25 00:00:00 End: 1861-08-30 18:00:00 Duration: 5 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL041861 UNNAMED, Start: 1861-09-17 12:00:00 End: 1861-09-17 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL051861 UNNAMED, Start: 1861-09-27 06:00:00 End: 1861-09-28 12:00:00 Duration: 1 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL061861 UNNAMED, Start: 1861-10-06 00:00:00 End: 1861-10-09 18:00:00 Duration: 3 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL071861 UNNAMED, Start: 1861-10-07 12:00:00 End: 1861-10-07 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL081861 UNNAMED, Start: 1861-11-01 06:00:00 End: 1861-11-03 18:00:00 Duration: 2 days 12 hours, Max Wind: 70 knots, Min Pressure: 999 mb, Landfalls: 1
AL011862 UNNAMED, Start: 1862-06-15 00:00:00 End: 1862-06-17 18:00:00 Duration: 2 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL021862 UNNAMED, Start: 1862-08-18 00:00:00 End: 1862-08-21 00:00:00 Duration: 3 days 0 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031862 UNNAMED, Start: 1862-09-12 00:00:00 End: 1862-09-20 06:00:00 Duration: 8 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL041862 UNNAMED, Start: 1862-10-06 00:00:00 End: 1862-10-06 00:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL051862 UNNAMED, Start: 1862-10-14 00:00:00 End: 1862-10-17 06:00:00 Duration: 3 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL061862 UNNAMED, Start: 1862-11-22 00:00:00 End: 1862-11-25 06:00:00 Duration: 3 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011863 UNNAMED, Start: 1863-08-08 00:00:00 End: 1863-08-09 18:00:00 Duration: 1 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL021863 UNNAMED, Start: 1863-08-18 00:00:00 End: 1863-08-19 18:00:00 Duration: 1 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031863 UNNAMED, Start: 1863-08-19 00:00:00 End: 1863-08-23 06:00:00 Duration: 4 days 6 hours, Max Wind: 90 knots, Min Pressure: 975 mb, Landfalls: 0
AL041863 UNNAMED, Start: 1863-08-27 00:00:00 End: 1863-08-28 18:00:00 Duration: 1 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL051863 UNNAMED, Start: 1863-09-09 00:00:00 End: 1863-09-16 18:00:00 Duration: 7 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL061863 UNNAMED, Start: 1863-09-16 00:00:00 End: 1863-09-19 06:00:00 Duration: 3 days 6 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL071863 UNNAMED, Start: 1863-09-18 12:00:00 End: 1863-09-19 18:00:00 Duration: 1 days 6 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL081863 UNNAMED, Start: 1863-09-26 12:00:00 End: 1863-09-27 06:00:00 Duration: 0 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL091863 UNNAMED, Start: 1863-09-29 00:00:00 End: 1863-10-01 18:00:00 Duration: 2 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011864 UNNAMED, Start: 1864-07-16 00:00:00 End: 1864-07-18 18:00:00 Duration: 2 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL021864 UNNAMED, Start: 1864-07-25 12:00:00 End: 1864-07-25 12:00:00 Duration: 0 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL031864 UNNAMED, Start: 1864-08-26 00:00:00 End: 1864-09-01 06:00:00 Duration: 6 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041864 UNNAMED, Start: 1864-09-05 00:00:00 End: 1864-09-08 18:00:00 Duration: 3 days 18 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL051864 UNNAMED, Start: 1864-10-22 00:00:00 End: 1864-10-24 18:00:00 Duration: 2 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL011865 UNNAMED, Start: 1865-05-30 00:00:00 End: 1865-05-30 00:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL021865 UNNAMED, Start: 1865-06-30 12:00:00 End: 1865-06-30 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL031865 UNNAMED, Start: 1865-08-20 00:00:00 End: 1865-08-24 18:00:00 Duration: 4 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL041865 UNNAMED, Start: 1865-09-06 00:00:00 End: 1865-09-14 18:00:00 Duration: 8 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL051865 UNNAMED, Start: 1865-09-07 00:00:00 End: 1865-09-07 00:00:00 Duration: 0 days 0 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL061865 UNNAMED, Start: 1865-09-28 12:00:00 End: 1865-09-28 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL071865 UNNAMED, Start: 1865-10-18 00:00:00 End: 1865-10-25 18:00:00 Duration: 7 days 18 hours, Max Wind: 90 knots, Min Pressure: 975 mb, Landfalls: 2
AL011866 UNNAMED, Start: 1866-07-11 12:00:00 End: 1866-07-16 00:00:00 Duration: 4 days 12 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL021866 UNNAMED, Start: 1866-08-13 00:00:00 End: 1866-08-18 06:00:00 Duration: 5 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL031866 UNNAMED, Start: 1866-09-04 00:00:00 End: 1866-09-07 06:00:00 Duration: 3 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041866 UNNAMED, Start: 1866-09-18 12:00:00 End: 1866-09-18 12:00:00 Duration: 0 days 0 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL051866 UNNAMED, Start: 1866-09-22 00:00:00 End: 1866-09-24 18:00:00 Duration: 2 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL061866 UNNAMED, Start: 1866-09-24 00:00:00 End: 1866-10-05 18:00:00 Duration: 11 days 18 hours, Max Wind: 120 knots, Min Pressure: 938 mb, Landfalls: 0
AL071866 UNNAMED, Start: 1866-10-29 06:00:00 End: 1866-10-30 18:00:00 Duration: 1 days 12 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
AL011867 UNNAMED, Start: 1867-06-21 12:00:00 End: 1867-06-23 18:00:00 Duration: 2 days 6 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 1
AL021867 UNNAMED, Start: 1867-07-28 00:00:00 End: 1867-08-03 18:00:00 Duration: 6 days 18 hours, Max Wind: 90 knots, Min Pressure: 969 mb, Landfalls: 0
AL031867 UNNAMED, Start: 1867-08-02 12:00:00 End: 1867-08-02 12:00:00 Duration: 0 days 0 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL041867 UNNAMED, Start: 1867-08-31 00:00:00 End: 1867-09-03 18:00:00 Duration: 3 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL051867 UNNAMED, Start: 1867-09-08 12:00:00 End: 1867-09-08 12:00:00 Duration: 0 days 0 hours, Max Wind: 50 knots, Min Pressure: N/A mb, Landfalls: 0
AL061867 UNNAMED, Start: 1867-09-29 00:00:00 End: 1867-10-01 06:00:00 Duration: 2 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL071867 UNNAMED, Start: 1867-10-02 00:00:00 End: 1867-10-09 18:00:00 Duration: 7 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 2
AL081867 UNNAMED, Start: 1867-10-09 12:00:00 End: 1867-10-09 12:00:00 Duration: 0 days 0 hours, Max Wind: 40 knots, Min Pressure: N/A mb, Landfalls: 0
AL091867 UNNAMED, Start: 1867-10-27 00:00:00 End: 1867-10-31 00:00:00 Duration: 4 days 0 hours, Max Wind: 110 knots, Min Pressure: 952 mb, Landfalls: 0
AL011868 UNNAMED, Start: 1868-09-03 00:00:00 End: 1868-09-07 06:00:00 Duration: 4 days 6 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL021868 UNNAMED, Start: 1868-10-01 00:00:00 End: 1868-10-07 18:00:00 Duration: 6 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL031868 UNNAMED, Start: 1868-10-05 00:00:00 End: 1868-10-07 18:00:00 Duration: 2 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL041868 UNNAMED, Start: 1868-10-15 00:00:00 End: 1868-10-17 18:00:00 Duration: 2 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL011869 UNNAMED, Start: 1869-08-12 00:00:00 End: 1869-08-12 18:00:00 Duration: 0 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 0
AL021869 UNNAMED, Start: 1869-08-16 00:00:00 End: 1869-08-17 18:00:00 Duration: 1 days 18 hours, Max Wind: 90 knots, Min Pressure: N/A mb, Landfalls: 1
AL031869 UNNAMED, Start: 1869-08-27 00:00:00 End: 1869-08-27 18:00:00 Duration: 0 days 18 hours, Max Wind: 70 knots, Min Pressure: N/A mb, Landfalls: 0
AL041869 UNNAMED, Start: 1869-09-01 00:00:00 End: 1869-09-02 18:00:00 Duration: 1 days 18 hours, Max Wind: 60 knots, Min Pressure: N/A mb, Landfalls: 0
